Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_100_2475_10_100_1,23748.870334715,3.6904513,23748.870334715004,73.051138124,-1.5318534127384927e-16,1
AUpdata_corrSergio_100_2475_10_100_2,24500.55321986,3.5566299,24500.553219859994,14.756551993,2.969711560751853e-16,1
AUpdata_corrSergio_100_2475_10_100_3,28076.309429,3.2859891,28076.309428999997,5.964953152,1.295746799019834e-16,1
AUpdata_corrSergio_100_2475_2_100_1,48203.25973393,0.4000045,48203.25973392999,5.707317094,1.5094326927981434e-16,1
AUpdata_corrSergio_100_2475_2_100_2,46625.356857105,0.3726308,46625.35685710501,5.671399887,-3.121030316821984e-16,1
AUpdata_corrSergio_100_2475_2_100_3,55140.785456655,0.3981475,55140.785456655,37.470247434,0.0,1
AUpdata_corrSergio_100_2475_3_100_1,43409.921649165,0.650826,43409.92164916502,49.89393514,-5.028314268558495e-16,1
AUpdata_corrSergio_100_2475_3_100_2,41767.76998289,0.660257,41767.76998288999,21.273789365,1.7420028929396983e-16,1
AUpdata_corrSergio_100_2475_3_100_3,49860.32175114,0.6779471,49860.321751139985,55.536551455,2.9185361660916565e-16,1
AUpdata_corrSergio_100_2475_4_100_1,39155.102936385,0.9333158,39155.102936384996,43.429240247,1.8582399402715452e-16,1
AUpdata_corrSergio_100_2475_4_100_2,37564.201390975,0.9510167,37564.201390974995,14.214285604,1.9369392519366896e-16,1
AUpdata_corrSergio_100_2475_4_100_3,45445.43807418,0.9661931,45445.43807417998,65.959690679,3.202062923150604e-16,1
AUpdata_corrSergio_100_2475_5_100_1,35438.029295465,2.2890041,35438.029295465,77.646158915,0.0,1
AUpdata_corrSergio_100_2475_5_100_2,33963.35363704,1.2948034,33963.35363704,5.230910709,0.0,1
AUpdata_corrSergio_100_2475_5_100_3,41504.26083157,2.0173394,41504.26083157001,48.583745948,-3.5061256210345537e-16,1
AUpdata_corrSergio_100_4950_10_100_1,11530.97054502,3.9095189,11530.970545020004,48.301321443,-3.1549632295807774e-16,1
AUpdata_corrSergio_100_4950_10_100_2,10845.594196845,5.6670267,10845.594196845004,65.408404284,-3.3543379376576757e-16,1
AUpdata_corrSergio_100_4950_10_100_3,12035.36583344,3.566315,12035.365833439999,39.512263192,1.511370263870031e-16,1
AUpdata_corrSergio_100_4950_2_100_1,26889.078833975,0.4479797,26889.078833975003,58.542468091,-1.352957767558418e-16,1
AUpdata_corrSergio_100_4950_2_100_2,23867.49279961,0.429017,23867.49279961,27.100482083,0.0,1
AUpdata_corrSergio_100_4950_2_100_3,24113.139363825,0.3908044,24113.139363825012,36.987084066,-4.5261366662394995e-16,1
AUpdata_corrSergio_100_4950_3_100_1,23171.537935175,0.7268909,23171.537935175,88.342079494,0.0,1
AUpdata_corrSergio_100_4950_3_100_2,20590.039066825,0.6774063,20590.03906682502,26.471818528,-8.834317398050204e-16,1
AUpdata_corrSergio_100_4950_3_100_3,21194.95385061,0.6305016,21194.95385061,37.96385265,0.0,1
AUpdata_corrSergio_100_4950_4_100_1,19990.31170014,1.2302387,19990.311700140002,77.165996837,-1.8198709763321172e-16,1
AUpdata_corrSergio_100_4950_4_100_2,18566.27217269,0.9127606,18566.27217269001,38.414932056,-3.9189114252488283e-16,1
AUpdata_corrSergio_100_4950_4_100_3,18990.04108049,0.9794105,18990.041080490006,45.632397403,-3.831459649478379e-16,1
AUpdata_corrSergio_100_4950_5_100_1,18071.064618215,1.3485985,18071.06461821503,95.260600866,-1.6105210772915954e-15,1
AUpdata_corrSergio_100_4950_5_100_2,16965.061179845,1.483422,16965.061179845008,133.531196194,-4.288789493330845e-16,1
AUpdata_corrSergio_100_4950_5_100_3,17353.374518655,1.2662172,17353.374518655008,59.044848922,-4.192820022619645e-16,1
AUpdata_corrSergio_100_7425_10_100_1,8390.13480972,3.3745558,8390.134809720003,104.473008936,-2.168009745729652e-16,1
AUpdata_corrSergio_100_7425_10_100_2,10481.92965105,4.0912773,10481.929651050003,57.757759243,-1.7353573856161527e-16,1
AUpdata_corrSergio_100_7425_10_100_3,8810.39723026,5.3915991,8810.39723026,80.798606506,0.0,1
AUpdata_corrSergio_100_7425_2_100_1,16552.58793632,0.4443851,16552.587936320004,50.925477087,-2.197830829286332e-16,1
AUpdata_corrSergio_100_7425_2_100_2,20852.032806715,0.3818141,20852.032806715004,71.72043802,-1.7446638612232428e-16,1
AUpdata_corrSergio_100_7425_2_100_3,17290.996638155,0.4055929,17290.996638155004,43.448619235,-2.1039728843992737e-16,1
AUpdata_corrSergio_100_7425_3_100_1,14282.731499995,0.8399106,14282.731499995012,68.236341102,-8.914909465899742e-16,1
AUpdata_corrSergio_100_7425_3_100_2,18616.720105585,0.6765568,18616.72010558501,68.766261489,-5.862437829744758e-16,1
AUpdata_corrSergio_100_7425_3_100_3,14893.329828755,0.836822,14893.329828754997,67.918076791,2.442690015544918e-16,1
AUpdata_corrSergio_100_7425_4_100_1,13062.084048285,1.4633237,13062.084048285044,205.562758757,-3.3421730807827897e-15,1
AUpdata_corrSergio_100_7425_4_100_2,16550.86834381,0.9902044,16550.86834381,57.199851749,0.0,1
AUpdata_corrSergio_100_7425_4_100_3,13309.209942295,1.1110224,13309.209942295005,30.56438621,-4.100144361909873e-16,1
AUpdata_corrSergio_100_7425_5_100_1,11831.381562595,2.1421282,11831.381562595261,105.47602543,-2.2138959235217747e-14,1
AUpdata_corrSergio_100_7425_5_100_2,15172.827987135,1.2042076,15172.827987134999,115.715415293,1.198846652112693e-16,1
AUpdata_corrSergio_100_7425_5_100_3,12330.267613615,1.284419,12330.267613615002,64.631059899,-1.4752229720767293e-16,1
AUpdata_randomSergio_100_2475_10_100_1,218654.590884825,3.6920102,218654.59088482498,310.887200397,1.3310413624959731e-16,1
AUpdata_randomSergio_100_2475_10_100_2,222490.04781266,4.2534811,222490.04781266,273.587993302,0.0,1
AUpdata_randomSergio_100_2475_10_100_3,249307.17027844,6.6798222,249307.17027844,399.659224326,0.0,1
AUpdata_randomSergio_100_2475_2_100_1,453715.92083764,0.4256507,453715.92083763995,710.758383844,1.282909817358971e-16,1
AUpdata_randomSergio_100_2475_2_100_2,435740.29963847,0.397151,435740.29963846994,382.755544644,1.3358337744239358e-16,1
AUpdata_randomSergio_100_2475_2_100_3,485158.81898228,0.3989531,485158.8189822801,755.580331537,-2.399530159446339e-16,1
AUpdata_randomSergio_100_2475_3_100_1,404200.70175016,0.7258845,404200.7017501601,654.780015594,-1.4400682794817626e-16,1
AUpdata_randomSergio_100_2475_3_100_2,381424.055850215,1.0421536,381424.05585021485,430.979079771,4.578184832919312e-16,1
AUpdata_randomSergio_100_2475_3_100_3,427225.92068118,0.6840705,427225.92068118,397.730055265,0.0,1
AUpdata_randomSergio_100_2475_4_100_1,358884.63918469,0.9592368,358884.63918469014,518.806766493,-3.2438089880749913e-16,1
AUpdata_randomSergio_100_2475_4_100_2,347049.20886679,1.0449769,347049.20886679,396.324566137,0.0,1
