instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_1.txt,AUpdata_corrSergio_100_2475_10_100_1,100,10,100,bvns,42,23748.870334715,1.564354
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_2.txt,AUpdata_corrSergio_100_2475_10_100_2,100,10,100,bvns,42,24500.55321986,1.2125159
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_3.txt,AUpdata_corrSergio_100_2475_10_100_3,100,10,100,bvns,42,28076.309429,1.5504799
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_1.txt,AUpdata_corrSergio_100_2475_2_100_1,100,2,100,bvns,42,48203.25973393,0.3086125
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_2.txt,AUpdata_corrSergio_100_2475_2_100_2,100,2,100,bvns,42,46625.356857105,0.2946701
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_3.txt,AUpdata_corrSergio_100_2475_2_100_3,100,2,100,bvns,42,55140.785456655,0.3094981
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_1.txt,AUpdata_corrSergio_100_2475_3_100_1,100,3,100,bvns,42,43409.921649165,0.4310477
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_2.txt,AUpdata_corrSergio_100_2475_3_100_2,100,3,100,bvns,42,41767.76998289,0.5304821
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_3.txt,AUpdata_corrSergio_100_2475_3_100_3,100,3,100,bvns,42,49860.32175114,0.4211731
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_1.txt,AUpdata_corrSergio_100_2475_4_100_1,100,4,100,bvns,42,39155.102936385,0.5645899
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_2.txt,AUpdata_corrSergio_100_2475_4_100_2,100,4,100,bvns,42,37564.201390975,0.6183597
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_3.txt,AUpdata_corrSergio_100_2475_4_100_3,100,4,100,bvns,42,45445.43807418,0.5339738
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_1.txt,AUpdata_corrSergio_100_2475_5_100_1,100,5,100,bvns,42,35438.029295465,0.8050391
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_2.txt,AUpdata_corrSergio_100_2475_5_100_2,100,5,100,bvns,42,33963.35363704,0.681686
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_3.txt,AUpdata_corrSergio_100_2475_5_100_3,100,5,100,bvns,42,41638.662915225,0.6056302
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_10_100_1.txt,AUpdata_corrSergio_100_4950_10_100_1,100,10,100,bvns,42,11530.97054502,1.6895719
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_10_100_2.txt,AUpdata_corrSergio_100_4950_10_100_2,100,10,100,bvns,42,10845.594196845,1.517246
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_10_100_3.txt,AUpdata_corrSergio_100_4950_10_100_3,100,10,100,bvns,42,12035.36583344,1.3561699
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_2_100_1.txt,AUpdata_corrSergio_100_4950_2_100_1,100,2,100,bvns,42,26889.078833975,0.3344148
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_2_100_2.txt,AUpdata_corrSergio_100_4950_2_100_2,100,2,100,bvns,42,23867.49279961,0.3336198
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_2_100_3.txt,AUpdata_corrSergio_100_4950_2_100_3,100,2,100,bvns,42,24113.139363825,0.3300499
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_3_100_1.txt,AUpdata_corrSergio_100_4950_3_100_1,100,3,100,bvns,42,23171.537935175,0.4608498
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_3_100_2.txt,AUpdata_corrSergio_100_4950_3_100_2,100,3,100,bvns,42,20590.039066825,0.4503005
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_3_100_3.txt,AUpdata_corrSergio_100_4950_3_100_3,100,3,100,bvns,42,21194.95385061,0.4191817
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_4_100_1.txt,AUpdata_corrSergio_100_4950_4_100_1,100,4,100,bvns,42,19990.31170014,0.7067817
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_4_100_2.txt,AUpdata_corrSergio_100_4950_4_100_2,100,4,100,bvns,42,18566.27217269,0.5533461
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_4_100_3.txt,AUpdata_corrSergio_100_4950_4_100_3,100,4,100,bvns,42,18990.04108049,0.6683037
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_5_100_1.txt,AUpdata_corrSergio_100_4950_5_100_1,100,5,100,bvns,42,18071.064618215,0.7055488
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_5_100_2.txt,AUpdata_corrSergio_100_4950_5_100_2,100,5,100,bvns,42,16965.061179845,0.8172875
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_5_100_3.txt,AUpdata_corrSergio_100_4950_5_100_3,100,5,100,bvns,42,17353.374518655,0.8713455
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_10_100_1.txt,AUpdata_corrSergio_100_7425_10_100_1,100,10,100,bvns,42,8390.13480972,2.0275095
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_10_100_2.txt,AUpdata_corrSergio_100_7425_10_100_2,100,10,100,bvns,42,10481.92965105,2.1496009
